ug,unidade_gestora,liquidado,pago,gap_liquidado_pago,gap_pct_liquidado
440901,FUNDO ESTADUAL DE SAÚDE,3360888950.73,3222908717.73,137980233.00,0.04105468
30101,TRIBUNAL DE JUSTIÇA DO ESTADO DO ESPÍRITO SANTO,949590181.29,846242852.88,103347328.41,0.10883361
420101,SECRETARIA DE ESTADO DA EDUCAÇÃO,2487943228.96,2428921107.18,59022121.78,0.02372326
50101,MINISTÉRIO PÚBLICO DO ESTADO DO ESPÍRITO SANTO,403434070.51,362153457.54,41280612.97,0.10232307
600210,FUNDO FINANCEIRO,2225581023.44,2191879210.01,33701813.43,0.01514293
800102,ADMINISTRAÇÃO GERAL A CARGO DA SEFAZ,1626994441.20,1608297391.41,18697049.79,0.01149177
100109,SECRETARIA DE ESTADO DO GOVERNO,60822533.51,43581651.02,17240882.49,0.28346209
320901,FUNDO ESTADUAL DE CIÊNCIA E TECNOLOGIA,171781383.56,157025387.81,14755995.75,0.08589985
460101,SECRETARIA DE ESTADO DA JUSTIÇA,595762638.18,581745213.40,14017424.78,0.02352854
360101,"SECRETARIA DE ESTADO DE SANEAMENTO, HABITAÇÃO E DESENVOLVIMENTO URBANO",450574138.86,436619055.37,13955083.49,0.03097178
450102,POLÍCIA CIVIL DO ESTADO DO ESPÍRITO SANTO,390110066.52,377927263.76,12182802.76,0.03122914
440910,HOSPITAL INFANTIL NOSSA SENHORA DA GLÓRIA,102979524.68,96256281.76,6723242.92,0.06528718
